id	number	cameraModel
72	1	4/3 CMOS Hasselblad camera
73	1	EO digital camera
73	2	IR sensor camera
73	3	GMTI camera
73	4	Synthetic aperture radar sensor camera
74	1	Sony optical camera
74	2	Flir Boson IR sensor camera
75	1	L2D-20c aerial camera
76	1	50MB Teledyne camera
76	2	50MB Teledyne camera
76	3	50MB Teledyne camera
76	4	50MB Teledyne camera
77	1	EO digital camera
77	2	IR sensor camera
77	3	GMTI camera
77	4	Synthetic aperture radar sensor camera
78	1	L2D-20c aerial camera
79	1	MTS-B IR camera
79	2	MTS-B color/monochrome daylight TV camera
79	3	MTS-B image-intensified TV camera
79	4	MTS-B laser designator camera
79	5	MTS-B laser illuminator camera
80	1	EO digital camera
80	2	IR sensor camera
80	3	GMTI camera
80	4	Synthetic aperture radar sensor camera
81	1	4/3 CMOS Hasselblad camera
84	1	Dual 640T visible camera
84	2	Dual 640T thermal camera
85	1	MTS-B IR camera
85	2	MTS-B color/monochrome daylight TV camera
85	3	MTS-B image-intensified TV camera
85	4	MTS-B laser designator camera
85	5	MTS-B laser illuminator camera
86	1	Sony optical camera
86	2	Flir Boson IR sensor camera
87	1	Sony optical camera
87	2	Flir Boson IR sensor camera
88	1	EO digital camera
88	2	IR sensor camera
88	3	GMTI camera
88	4	Synthetic aperture radar sensor camera
89	1	50MB Teledyne camera
89	2	50MB Teledyne camera
89	3	50MB Teledyne camera
89	4	50MB Teledyne camera
90	1	50MB Teledyne camera
90	2	50MB Teledyne camera
90	3	50MB Teledyne camera
90	4	50MB Teledyne camera
91	1	Sony optical camera
91	2	Flir Boson IR sensor camera
92	1	42.4MP Sony RX1R-II camera
93	1	42.4MP Sony RX1R-II camera
94	1	EO digital camera
94	2	IR sensor camera
94	3	GMTI camera
94	4	Synthetic aperture radar sensor camera
95	1	EO digital camera
95	2	IR sensor camera
95	3	GMTI camera
95	4	Synthetic aperture radar sensor camera
96	1	Sony optical camera
96	2	Flir Boson IR sensor camera
97	1	Dual 640T visible camera
98	1	42.4MP Sony RX1R-II camera
99	1	Dual 640T visible camera
99	2	Dual 640T thermal camera
100	1	MTS-B IR camera
100	2	MTS-B color/monochrome daylight TV camera
100	3	MTS-B image-intensified TV camera
100	4	MTS-B laser designator camera
100	5	MTS-B laser illuminator camera
102	1	EO digital camera
102	2	IR sensor camera
102	3	GMTI camera
102	4	Synthetic aperture radar sensor camera
103	1	42.4MP Sony RX1R-II camera
104	1	Sony optical camera
104	2	Flir Boson IR sensor camera
105	1	L2D-20c aerial camera
106	1	Dual 640T visible camera
107	1	EO digital camera
107	2	IR sensor camera
107	3	GMTI camera
107	4	Synthetic aperture radar sensor camera
108	1	4/3 CMOS Hasselblad camera
109	1	42.4MP Sony RX1R-II camera
110	1	Sony optical camera
110	2	Flir Boson IR sensor camera
111	1	MTS-B IR camera
111	2	MTS-B color/monochrome daylight TV camera
111	3	MTS-B image-intensified TV camera
111	4	MTS-B laser designator camera
111	5	MTS-B laser illuminator camera
112	1	Sony optical camera
113	1	EO digital camera
113	2	IR sensor camera
113	3	GMTI camera
113	4	Synthetic aperture radar sensor camera
114	1	50MB Teledyne camera
114	2	50MB Teledyne camera
114	3	50MB Teledyne camera
114	4	50MB Teledyne camera
115	1	42.4MP Sony RX1R-II camera
116	1	Sony optical camera
117	1	L2D-20c aerial camera
118	1	EO digital camera
118	2	IR sensor camera
118	3	GMTI camera
118	4	Synthetic aperture radar sensor camera
119	1	42.4MP Sony RX1R-II camera
