id	disposeDate	assignDate	droneID	cameraSN
95	2021-07-13	2021-01-13	\N	23412
96	2021-07-13	2021-01-13	\N	27071
97	2021-07-13	2021-01-13	\N	26063
98	2021-07-13	2021-01-13	\N	20212
99	2021-07-13	2021-01-13	\N	22318
100	2021-07-13	2021-01-13	\N	29387
101	2021-07-22	2021-01-22	\N	12640
102	2021-07-22	2021-01-22	\N	19341
103	2021-07-22	2021-01-22	\N	22412
104	2021-07-22	2021-01-22	\N	23122
105	2021-07-22	2021-01-22	\N	34123
106	2021-07-22	2021-01-22	\N	34561
107	2021-07-22	2021-01-22	\N	13587
108	2021-07-22	2021-01-22	\N	82376
109	2021-07-22	2021-01-22	\N	87621
110	2021-07-22	2021-01-22	\N	97621
185	2022-01-14	2021-07-14	\N	12704
186	2022-01-14	2021-07-14	\N	12746
187	2022-01-14	2021-07-14	\N	23412
188	2022-01-14	2021-07-14	\N	27071
189	2022-01-14	2021-07-14	\N	26063
190	2022-01-14	2021-07-14	\N	20212
191	2022-01-14	2021-07-14	\N	22318
192	2022-01-14	2021-07-14	\N	29387
216	2022-01-23	2021-07-23	\N	12640
217	2022-01-23	2021-07-23	\N	19341
218	2022-01-23	2021-07-23	\N	22412
219	2022-01-23	2021-07-23	\N	23122
220	2022-01-23	2021-07-23	\N	34123
221	2022-01-23	2021-07-23	\N	34561
222	2022-01-23	2021-07-23	\N	13587
223	2022-01-23	2021-07-23	\N	82376
224	2022-01-23	2021-07-23	\N	87621
225	2022-01-23	2021-07-23	\N	97621
315	2022-05-09	2021-11-09	\N	36789
316	2022-05-09	2021-11-09	\N	72345
317	2022-05-09	2021-11-09	\N	72879
318	2022-05-09	2021-11-09	\N	78615
