id	datetime	droneID	droneCamNum	cameraSN
246	2021-10-08 00:00:00	\N	\N	12704
247	2021-10-24 04:32:00	85	1	\N
248	2021-10-24 05:32:00	86	1	\N
249	2021-10-24 06:32:00	87	1	\N
250	2021-10-24 07:32:00	88	1	\N
251	2021-10-24 09:26:00	91	1	\N
252	2020-05-03 09:18:00	94	1	\N
253	2020-05-03 13:15:00	95	1	\N
254	2020-05-03 17:55:00	96	1	\N
255	2020-05-03 17:57:00	100	1	\N
256	2020-05-03 17:59:00	102	1	\N
257	2021-10-09 10:51:00	\N	\N	27071
258	2021-10-16 11:42:00	\N	\N	27071
259	2021-10-23 12:33:00	\N	\N	27071
260	2021-10-24 05:23:00	\N	\N	27071
261	2021-10-30 13:24:00	\N	\N	27071
262	2021-10-31 20:53:00	\N	\N	27071
263	2021-11-06 14:15:00	\N	\N	27071
264	2021-11-13 15:06:00	\N	\N	27071
265	2021-11-20 15:57:00	\N	\N	27071
266	2021-11-23 22:01:00	\N	\N	27071
267	2021-11-27 16:48:00	\N	\N	27071
268	2021-12-02 00:00:00	\N	\N	27071
269	2021-12-04 17:39:00	\N	\N	27071
270	2021-12-09 07:39:00	\N	\N	27071
271	2021-12-11 18:30:00	\N	\N	27071
272	2021-12-12 14:53:00	\N	\N	36789
273	2021-12-17 23:09:00	\N	\N	36789
274	2021-12-18 19:21:00	\N	\N	36789
275	2021-12-25 00:00:00	\N	\N	36789
276	2021-12-25 20:12:00	\N	\N	36789
